"Site" "F01" "F12" "F23" "F34" "F45" "F56" "F67" "F78" "F89" "F910" "F1011" "Year" "Month" "Day" "Hour" "Rep" "File" "Sites"
"1" "CE01" 111 13 1 4818 224 0 0 0 0 0 0 "2017" "09" "08" "18" "01" "CE01_20170908_180000.wav" "Ceibo"
"2" "CE01" 3 8 0 4854 301 0 0 0 1 0 0 "2017" "09" "08" "18" "02" "CE01_20170908_180000.wav1" "Ceibo"
"3" "CE01" 169 141 74 4494 288 0 0 0 1 0 0 "2017" "09" "08" "18" "03" "CE01_20170908_180000.wav2" "Ceibo"
"4" "CE01" 1185 302 313 3166 200 0 1 0 0 0 0 "2017" "09" "08" "18" "04" "CE01_20170908_180000.wav3" "Ceibo"
"5" "CE01" 1096 219 369 3414 66 0 0 3 0 0 0 "2017" "09" "08" "18" "05" "CE01_20170908_180000.wav4" "Ceibo"
"6" "CE01" 669 415 749 3138 195 0 1 0 0 0 0 "2017" "09" "08" "18" "06" "CE01_20170908_180000.wav5" "Ceibo"
"7" "CE01" 129 103 3970 735 0 48 30 36 115 1 0 "2017" "09" "08" "19" "01" "CE01_20170908_190000.wav" "Ceibo"
"8" "CE01" 94 168 3815 741 0 71 46 90 142 0 0 "2017" "09" "08" "19" "02" "CE01_20170908_190000.wav1" "Ceibo"
"9" "CE01" 105 133 4025 530 0 81 39 151 103 0 0 "2017" "09" "08" "19" "03" "CE01_20170908_190000.wav2" "Ceibo"
"10" "CE01" 49 145 3781 701 0 68 26 202 194 1 0 "2017" "09" "08" "19" "04" "CE01_20170908_190000.wav3" "Ceibo"
"11" "CE01" 151 55 3431 1078 0 61 22 197 172 0 0 "2017" "09" "08" "19" "05" "CE01_20170908_190000.wav4" "Ceibo"
"12" "CE01" 161 169 4101 484 2 52 24 52 122 0 0 "2017" "09" "08" "19" "06" "CE01_20170908_190000.wav5" "Ceibo"
"13" "CE01" 176 393 3917 321 1 61 13 49 236 0 0 "2017" "09" "08" "20" "01" "CE01_20170908_200000.wav" "Ceibo"
"14" "CE01" 56 276 4166 290 0 50 21 61 247 0 0 "2017" "09" "08" "20" "02" "CE01_20170908_200000.wav1" "Ceibo"
"15" "CE01" 19 254 4169 212 2 65 21 126 299 0 0 "2017" "09" "08" "20" "03" "CE01_20170908_200000.wav2" "Ceibo"
"16" "CE01" 47 219 3984 294 0 70 7 196 350 0 0 "2017" "09" "08" "20" "04" "CE01_20170908_200000.wav3" "Ceibo"
"17" "CE01" 104 165 4193 157 2 67 19 172 288 0 0 "2017" "09" "08" "20" "05" "CE01_20170908_200000.wav4" "Ceibo"
"18" "CE01" 620 161 3446 307 2 62 28 203 338 0 0 "2017" "09" "08" "20" "06" "CE01_20170908_200000.wav5" "Ceibo"
"19" "CE01" 2738 259 1586 215 4 19 8 223 115 0 0 "2017" "09" "08" "21" "01" "CE01_20170908_210000.wav" "Ceibo"
"20" "CE01" 2064 417 2022 166 6 26 7 291 167 1 0 "2017" "09" "08" "21" "02" "CE01_20170908_210000.wav1" "Ceibo"
"21" "CE01" 950 364 2685 252 1 28 19 467 401 0 0 "2017" "09" "08" "21" "03" "CE01_20170908_210000.wav2" "Ceibo"
"22" "CE01" 169 519 3450 388 4 30 11 332 264 0 0 "2017" "09" "08" "21" "04" "CE01_20170908_210000.wav3" "Ceibo"
"23" "CE01" 102 444 3570 335 0 41 36 374 265 0 0 "2017" "09" "08" "21" "05" "CE01_20170908_210000.wav4" "Ceibo"
"24" "CE01" 127 431 3188 439 2 39 16 546 379 0 0 "2017" "09" "08" "21" "06" "CE01_20170908_210000.wav5" "Ceibo"
"25" "CE01" 50 473 3933 261 10 39 1 140 260 0 0 "2017" "09" "08" "22" "01" "CE01_20170908_220000.wav" "Ceibo"
"26" "CE01" 35 487 3986 227 4 36 1 181 210 0 0 "2017" "09" "08" "22" "02" "CE01_20170908_220000.wav1" "Ceibo"
"27" "CE01" 27 427 4099 237 4 20 1 138 214 0 0 "2017" "09" "08" "22" "03" "CE01_20170908_220000.wav2" "Ceibo"
"28" "CE01" 37 574 3804 251 3 22 0 151 325 0 0 "2017" "09" "08" "22" "04" "CE01_20170908_220000.wav3" "Ceibo"
"29" "CE01" 36 661 3869 227 8 6 5 115 240 0 0 "2017" "09" "08" "22" "05" "CE01_20170908_220000.wav4" "Ceibo"
"30" "CE01" 37 601 3996 162 6 12 1 112 240 0 0 "2017" "09" "08" "22" "06" "CE01_20170908_220000.wav5" "Ceibo"
"31" "CE01" 128 605 4150 186 0 15 0 19 64 0 0 "2017" "09" "08" "23" "01" "CE01_20170908_230000.wav" "Ceibo"
"32" "CE01" 64 408 4644 27 0 11 0 3 10 0 0 "2017" "09" "08" "23" "02" "CE01_20170908_230000.wav1" "Ceibo"
"33" "CE01" 63 336 4661 32 3 16 0 18 38 0 0 "2017" "09" "08" "23" "03" "CE01_20170908_230000.wav2" "Ceibo"
"34" "CE01" 68 443 4448 56 10 14 4 46 78 0 0 "2017" "09" "08" "23" "04" "CE01_20170908_230000.wav3" "Ceibo"
"35" "CE01" 98 462 4344 41 0 12 0 87 123 0 0 "2017" "09" "08" "23" "05" "CE01_20170908_230000.wav4" "Ceibo"
"36" "CE01" 47 848 3999 22 0 15 0 85 151 0 0 "2017" "09" "08" "23" "06" "CE01_20170908_230000.wav5" "Ceibo"
"37" "CE01" 134 841 3984 33 0 5 0 23 147 0 0 "2017" "09" "09" "00" "01" "CE01_20170909_000000.wav" "Ceibo"
"38" "CE01" 95 1211 3765 10 2 13 0 13 58 0 0 "2017" "09" "09" "00" "02" "CE01_20170909_000000.wav1" "Ceibo"
"39" "CE01" 547 1462 3143 7 0 7 1 0 0 0 0 "2017" "09" "09" "00" "03" "CE01_20170909_000000.wav2" "Ceibo"
"40" "CE01" 138 1414 3592 5 0 13 1 4 0 0 0 "2017" "09" "09" "00" "04" "CE01_20170909_000000.wav3" "Ceibo"
"41" "CE01" 31 1672 3399 25 0 15 4 6 15 0 0 "2017" "09" "09" "00" "05" "CE01_20170909_000000.wav4" "Ceibo"
"42" "CE01" 48 1263 3748 50 0 13 1 12 32 0 0 "2017" "09" "09" "00" "06" "CE01_20170909_000000.wav5" "Ceibo"
"43" "CE01" 366 2163 2338 28 4 3 0 73 192 0 0 "2017" "09" "09" "01" "01" "CE01_20170909_010000.wav" "Ceibo"
"44" "CE01" 348 2773 1709 90 7 3 0 58 179 0 0 "2017" "09" "09" "01" "02" "CE01_20170909_010000.wav1" "Ceibo"
"45" "CE01" 304 2139 2490 46 0 1 0 29 158 0 0 "2017" "09" "09" "01" "03" "CE01_20170909_010000.wav2" "Ceibo"
"46" "CE01" 213 1996 2731 41 0 1 1 38 146 0 0 "2017" "09" "09" "01" "04" "CE01_20170909_010000.wav3" "Ceibo"
"47" "CE01" 212 2047 2762 19 4 0 1 45 77 0 0 "2017" "09" "09" "01" "05" "CE01_20170909_010000.wav4" "Ceibo"
"48" "CE01" 250 2317 2411 65 2 4 1 37 80 0 0 "2017" "09" "09" "01" "06" "CE01_20170909_010000.wav5" "Ceibo"
"49" "CE01" 252 1469 3306 42 0 2 0 66 30 0 0 "2017" "09" "09" "02" "01" "CE01_20170909_020000.wav" "Ceibo"
"50" "CE01" 197 1183 3559 45 0 5 0 71 107 0 0 "2017" "09" "09" "02" "02" "CE01_20170909_020000.wav1" "Ceibo"
"51" "CE01" 308 1161 3486 52 0 1 0 43 116 0 0 "2017" "09" "09" "02" "03" "CE01_20170909_020000.wav2" "Ceibo"
"52" "CE01" 192 1108 3618 40 0 0 0 57 152 0 0 "2017" "09" "09" "02" "04" "CE01_20170909_020000.wav3" "Ceibo"
"53" "CE01" 122 751 4043 16 2 7 0 23 203 0 0 "2017" "09" "09" "02" "05" "CE01_20170909_020000.wav4" "Ceibo"
"54" "CE01" 197 1859 2877 52 9 5 0 9 159 0 0 "2017" "09" "09" "02" "06" "CE01_20170909_020000.wav5" "Ceibo"
"55" "CE01" 2461 635 2030 9 0 12 0 10 10 0 0 "2017" "09" "09" "03" "01" "CE01_20170909_030000.wav" "Ceibo"
"56" "CE01" 1725 845 2554 22 0 0 1 4 16 0 0 "2017" "09" "09" "03" "02" "CE01_20170909_030000.wav1" "Ceibo"
"57" "CE01" 1051 1105 2966 17 0 0 2 2 24 0 0 "2017" "09" "09" "03" "03" "CE01_20170909_030000.wav2" "Ceibo"
"58" "CE01" 776 1480 2819 40 0 24 1 8 19 0 0 "2017" "09" "09" "03" "04" "CE01_20170909_030000.wav3" "Ceibo"
"59" "CE01" 443 1665 2979 27 1 10 0 7 35 0 0 "2017" "09" "09" "03" "05" "CE01_20170909_030000.wav4" "Ceibo"
"60" "CE01" 266 1701 3096 53 0 1 1 6 43 0 0 "2017" "09" "09" "03" "06" "CE01_20170909_030000.wav5" "Ceibo"
"61" "CE01" 2788 818 1396 138 1 5 18 3 0 0 0 "2017" "09" "09" "07" "02" "CE01_20170909_070000.wav1" "Ceibo"
"62" "CE01" 3077 652 1356 75 0 0 7 0 0 0 0 "2017" "09" "09" "07" "03" "CE01_20170909_070000.wav2" "Ceibo"
"63" "CE01" 3180 783 1011 181 6 1 5 0 0 0 0 "2017" "09" "09" "07" "04" "CE01_20170909_070000.wav3" "Ceibo"
"64" "CE01" 3335 591 720 314 63 1 20 123 0 0 0 "2017" "09" "09" "07" "05" "CE01_20170909_070000.wav4" "Ceibo"
"65" "CE01" 3723 571 523 274 53 1 18 4 0 0 0 "2017" "09" "09" "07" "06" "CE01_20170909_070000.wav5" "Ceibo"
"66" "CE01" 267 1137 3457 305 1 0 0 0 0 0 0 "2017" "09" "09" "08" "01" "CE01_20170909_080000.wav" "Ceibo"
"67" "CE01" 132 923 3506 606 0 0 0 0 0 0 0 "2017" "09" "09" "08" "02" "CE01_20170909_080000.wav1" "Ceibo"
"68" "CE01" 377 650 2922 1217 1 0 0 0 0 0 0 "2017" "09" "09" "08" "03" "CE01_20170909_080000.wav2" "Ceibo"
"69" "CE01" 555 838 3210 555 0 9 0 0 0 0 0 "2017" "09" "09" "08" "04" "CE01_20170909_080000.wav3" "Ceibo"
"70" "CE01" 450 1074 3625 18 0 0 0 0 0 0 0 "2017" "09" "09" "08" "05" "CE01_20170909_080000.wav4" "Ceibo"
"71" "CE01" 264 979 3923 1 0 0 0 0 0 0 0 "2017" "09" "09" "08" "06" "CE01_20170909_080000.wav5" "Ceibo"
"72" "CE01" 89 901 4159 17 1 0 0 0 0 0 0 "2017" "09" "09" "09" "01" "CE01_20170909_090000.wav" "Ceibo"
"73" "CE01" 294 905 3818 149 0 0 0 1 0 0 0 "2017" "09" "09" "09" "02" "CE01_20170909_090000.wav1" "Ceibo"
"74" "CE01" 733 615 3386 425 0 0 8 0 0 0 0 "2017" "09" "09" "09" "03" "CE01_20170909_090000.wav2" "Ceibo"
"75" "CE01" 882 430 2330 1514 5 4 2 0 0 0 0 "2017" "09" "09" "09" "04" "CE01_20170909_090000.wav3" "Ceibo"
"76" "CE01" 947 222 1219 84 2688 1 5 1 0 0 0 "2017" "09" "09" "09" "05" "CE01_20170909_090000.wav4" "Ceibo"
"77" "CE01" 1380 594 3122 53 0 2 15 1 0 0 0 "2017" "09" "09" "09" "06" "CE01_20170909_090000.wav5" "Ceibo"
"78" "CE01" 0 414 4629 123 0 0 0 1 0 0 0 "2017" "09" "09" "10" "01" "CE01_20170909_100000.wav" "Ceibo"
"79" "CE01" 0 379 4753 33 0 0 0 2 0 0 0 "2017" "09" "09" "10" "02" "CE01_20170909_100000.wav1" "Ceibo"
"80" "CE01" 0 432 4694 38 0 0 0 3 0 0 0 "2017" "09" "09" "10" "03" "CE01_20170909_100000.wav2" "Ceibo"
"81" "CE01" 0 510 4602 55 0 0 0 0 0 0 0 "2017" "09" "09" "10" "04" "CE01_20170909_100000.wav3" "Ceibo"
"82" "CE01" 0 527 4512 127 0 0 0 1 0 0 0 "2017" "09" "09" "10" "05" "CE01_20170909_100000.wav4" "Ceibo"
"83" "CE01" 0 541 4601 25 0 0 0 0 0 0 0 "2017" "09" "09" "10" "06" "CE01_20170909_100000.wav5" "Ceibo"
"84" "CE01" 15 701 4403 48 0 0 0 0 0 0 0 "2017" "09" "09" "11" "01" "CE01_20170909_110000.wav" "Ceibo"
"85" "CE01" 23 843 4242 59 0 0 0 0 0 0 0 "2017" "09" "09" "11" "02" "CE01_20170909_110000.wav1" "Ceibo"
"86" "CE01" 21 992 3679 100 375 0 0 0 0 0 0 "2017" "09" "09" "11" "03" "CE01_20170909_110000.wav2" "Ceibo"
"87" "CE01" 68 597 3092 37 1373 0 0 0 0 0 0 "2017" "09" "09" "11" "04" "CE01_20170909_110000.wav3" "Ceibo"
"88" "CE01" 168 576 3086 259 1078 0 0 0 0 0 0 "2017" "09" "09" "11" "05" "CE01_20170909_110000.wav4" "Ceibo"
"89" "CE01" 107 53 472 1726 2809 0 0 0 0 0 0 "2017" "09" "09" "11" "06" "CE01_20170909_110000.wav5" "Ceibo"
"90" "CE01" 641 1015 3113 398 0 0 0 0 0 0 0 "2017" "09" "09" "12" "01" "CE01_20170909_120000.wav" "Ceibo"
"91" "CE01" 142 532 2453 130 1910 0 0 0 0 0 0 "2017" "09" "09" "12" "02" "CE01_20170909_120000.wav1" "Ceibo"
"92" "CE01" 76 906 3749 436 0 0 0 0 0 0 0 "2017" "09" "09" "12" "03" "CE01_20170909_120000.wav2" "Ceibo"
"93" "CE01" 72 622 3806 664 3 0 0 0 0 0 0 "2017" "09" "09" "12" "04" "CE01_20170909_120000.wav3" "Ceibo"
"94" "CE01" 46 547 3941 632 1 0 0 0 0 0 0 "2017" "09" "09" "12" "05" "CE01_20170909_120000.wav4" "Ceibo"
"95" "CE01" 13 695 4172 287 0 0 0 0 0 0 0 "2017" "09" "09" "12" "06" "CE01_20170909_120000.wav5" "Ceibo"
"96" "CE01" 829 822 2914 591 4 0 7 0 0 0 0 "2017" "09" "09" "13" "01" "CE01_20170909_130000.wav" "Ceibo"
"97" "CE01" 873 736 2403 1154 0 1 0 0 0 0 0 "2017" "09" "09" "13" "02" "CE01_20170909_130000.wav1" "Ceibo"
"98" "CE01" 812 853 2437 1063 0 1 1 0 0 0 0 "2017" "09" "09" "13" "03" "CE01_20170909_130000.wav2" "Ceibo"
"99" "CE01" 540 973 2895 758 1 0 0 0 0 0 0 "2017" "09" "09" "13" "04" "CE01_20170909_130000.wav3" "Ceibo"
"100" "CE01" 462 576 2024 757 1347 1 0 0 0 0 0 "2017" "09" "09" "13" "05" "CE01_20170909_130000.wav4" "Ceibo"
"101" "CE01" 167 721 4053 225 0 1 0 0 0 0 0 "2017" "09" "09" "13" "06" "CE01_20170909_130000.wav5" "Ceibo"
"102" "CE01" 0 546 4477 137 0 0 0 7 0 0 0 "2017" "09" "09" "14" "01" "CE01_20170909_140000.wav" "Ceibo"
"103" "CE01" 4 690 4194 134 0 0 0 145 0 0 0 "2017" "09" "09" "14" "02" "CE01_20170909_140000.wav1" "Ceibo"
"104" "CE01" 0 925 3907 200 0 0 0 134 1 0 0 "2017" "09" "09" "14" "03" "CE01_20170909_140000.wav2" "Ceibo"
"105" "CE01" 0 528 4516 120 0 0 0 3 0 0 0 "2017" "09" "09" "14" "04" "CE01_20170909_140000.wav3" "Ceibo"
"106" "CE01" 0 527 4563 77 0 0 0 0 0 0 0 "2017" "09" "09" "14" "05" "CE01_20170909_140000.wav4" "Ceibo"
"107" "CE01" 2 596 4479 90 0 0 0 0 0 0 0 "2017" "09" "09" "14" "06" "CE01_20170909_140000.wav5" "Ceibo"
"108" "CE01" 81 3 0 5083 0 0 0 0 0 0 0 "2017" "09" "09" "18" "01" "CE01_20170909_180000.wav" "Ceibo"
"109" "CE01" 28 151 151 4836 1 0 0 0 0 0 0 "2017" "09" "09" "18" "02" "CE01_20170909_180000.wav1" "Ceibo"
"110" "CE01" 2 44 75 5040 6 0 0 0 0 0 0 "2017" "09" "09" "18" "03" "CE01_20170909_180000.wav2" "Ceibo"
"111" "CE01" 153 63 616 4319 0 0 0 1 14 1 0 "2017" "09" "09" "18" "04" "CE01_20170909_180000.wav3" "Ceibo"
"112" "CE01" 32 87 195 4850 1 0 1 0 0 1 0 "2017" "09" "09" "18" "05" "CE01_20170909_180000.wav4" "Ceibo"
"113" "CE01" 0 31 0 5132 3 0 0 0 0 1 0 "2017" "09" "09" "18" "06" "CE01_20170909_180000.wav5" "Ceibo"
"114" "CE01" 3 945 3780 239 0 27 8 50 115 0 0 "2017" "09" "09" "19" "01" "CE01_20170909_190000.wav" "Ceibo"
"115" "CE01" 2 892 3529 493 0 45 37 28 141 0 0 "2017" "09" "09" "19" "02" "CE01_20170909_190000.wav1" "Ceibo"
"116" "CE01" 0 499 4275 242 0 34 16 10 91 0 0 "2017" "09" "09" "19" "03" "CE01_20170909_190000.wav2" "Ceibo"
"117" "CE01" 1 175 4640 160 0 40 14 15 122 0 0 "2017" "09" "09" "19" "04" "CE01_20170909_190000.wav3" "Ceibo"
"118" "CE01" 7 117 4463 328 5 43 20 32 152 0 0 "2017" "09" "09" "19" "05" "CE01_20170909_190000.wav4" "Ceibo"
"119" "CE01" 5 114 4300 335 0 44 15 80 274 0 0 "2017" "09" "09" "19" "06" "CE01_20170909_190000.wav5" "Ceibo"
"120" "CE01" 21 100 4659 308 0 27 7 3 42 0 0 "2017" "09" "09" "20" "01" "CE01_20170909_200000.wav" "Ceibo"
"121" "CE01" 16 149 4821 86 0 12 15 14 54 0 0 "2017" "09" "09" "20" "02" "CE01_20170909_200000.wav1" "Ceibo"
