Site,F01,F12,F23,F34,F45,F56,F67,F78,F89,F910,F1011,F1112,F1213,F1314,F1415,F15,Sites,Site,Year,Month,Day,Hour,Rep,Sites
1,111,13,1,4818,224,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,8,18,1,CE01_20170908_180000.wav
2,3,8,0,4854,301,0,0,0,1,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,8,18,2,CE01_20170908_180000.wav1
3,169,141,74,4494,288,0,0,0,1,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,8,18,3,CE01_20170908_180000.wav2
4,1185,302,313,3166,200,0,1,0,0,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,8,18,4,CE01_20170908_180000.wav3
5,1096,219,369,3414,66,0,0,3,0,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,8,18,5,CE01_20170908_180000.wav4
6,669,415,749,3138,195,0,1,0,0,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,8,18,6,CE01_20170908_180000.wav5
7,129,103,3970,735,0,48,30,36,115,1,0,0,0,0,0,0,Ceibo,CE01,2017,9,8,19,1,CE01_20170908_190000.wav
8,94,168,3815,741,0,71,46,90,142,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,8,19,2,CE01_20170908_190000.wav1
9,105,133,4025,530,0,81,39,151,103,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,8,19,3,CE01_20170908_190000.wav2
10,49,145,3781,701,0,68,26,202,194,1,0,0,0,0,0,0,Ceibo,CE01,2017,9,8,19,4,CE01_20170908_190000.wav3
11,151,55,3431,1078,0,61,22,197,172,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,8,19,5,CE01_20170908_190000.wav4
12,161,169,4101,484,2,52,24,52,122,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,8,19,6,CE01_20170908_190000.wav5
13,176,393,3917,321,1,61,13,49,236,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,8,20,1,CE01_20170908_200000.wav
