"","SPLmean","SPLsd","SPLQ25","SPL50","SPLQ75","SPLMax","SPLMin","lwr.ci(95%)","upr.ci(95%)","Year","Month","Day","Hour","Min","Sec","Site","file"
"X5C8B60B0.WAV",118.579436743877,5.38455672576183,115.648780820669,116.507176450067,118.480031997142,142.827349145769,114.679685347721,117.916695214252,119.242178273502,"2019","03","15"," 08","23","08","S01","X5C8B60B0.WAV"
"X5C8B6308.WAV",86.2963377729469,5.18486309751958,83.0541159134126,85.2413454722689,88.0557933688543,118.218257951037,80.5595029552588,85.6581749166238,86.9345006292701,"2019","03","15"," 08","33","08","S01","X5C8B6308.WAV"
"X5C8B6560.WAV",100.256543398809,6.14743301566262,97.239667961074,100.708850787297,104.163344970554,113.923572140183,86.4973918603936,99.4999055978597,101.013181199758,"2019","03","15"," 08","43","08","S01","X5C8B6560.WAV"
"X5C8B67B8.WAV",90.1384996509758,6.3961672183994,87.6955642449858,88.8559583687429,90.8916984524538,127.515808833007,81.1516552685437,89.3512471691182,90.9257521328334,"2019","03","15"," 08","53","08","S01","X5C8B67B8.WAV"
"X5C8B6A10.WAV",98.5007113604614,7.27780571762179,95.1688884634104,98.7148345090537,103.845159811636,114.80072532678,83.5884183183756,97.6049451276472,99.3964775932755,"2019","03","17"," 19","56","44","S01","X5C8B6A10.WAV"
"X5C8B6C68.WAV",87.7308107020314,5.69513950565645,84.3599877081248,86.3795709659165,88.3685619346721,117.897871319478,81.6264046360165,87.0298420504527,88.4317793536101,"2019","03","15"," 09","03","08","S01","X5C8B6C68.WAV"
"X5C8B6EC0.WAV",97.6446892093345,6.6932719095488,94.3054695069853,97.716054355514,102.57571060222,113.497451970268,83.9290257546432,96.8208685144374,98.4685099042316,"2019","03","15"," 09","13","08","S01","X5C8B6EC0.WAV"
"X5C8B7118.WAV",85.8172548050835,4.28961721152676,83.3603322750774,84.6212293006651,87.119525550663,112.176937675619,81.5973411286984,85.2892805228792,86.3452290872879,"2019","03","15"," 09","23","08","S01","X5C8B7118.WAV"
"X5C8B7370.WAV",87.6031034117717,6.32090264011502,84.443456217471,86.1083862794952,88.2744366660597,131.230495534976,82.1786325948469,86.8251146380111,88.3810921855324,"2019","03","15"," 09","33","08","S01","X5C8B7370.WAV"
"X5C8B75C8.WAV",87.6944137963064,4.63212117673802,84.9646540097107,86.9887619761221,88.4064943025362,117.005093968852,82.4923122922269,87.1242834716705,88.2645441209424,"2019","03","15"," 09","43","08","S01","X5C8B75C8.WAV"
"X5C8B7820.WAV",85.7041597694436,4.50543835617925,82.901620860899,84.9184134239469,86.4965407965951,113.302382623439,81.9342756556434,85.1496218084042,86.2586977304831,"2019","03","15"," 09","53","08","S01","X5C8B7820.WAV"
"X5C8B7A78.WAV",85.4685399390134,4.80274295030138,82.8881093563295,84.5093294532774,86.7906918066587,117.738464708384,81.5177052747285,84.8774091604946,86.0596707175322,"2019","03","15"," 10","03","08","S01","X5C8B7A78.WAV"
"X5C8B7CD0.WAV",87.8511624163193,4.05278236624818,85.4328074842903,87.1573384859878,88.9042793124522,116.144165685558,84.2856543869629,87.3523382193722,88.3499866132664,"2019","03","15"," 10","13","08","S01","X5C8B7CD0.WAV"
"X5C8B7F28.WAV",86.0374367753723,4.1428503537387,83.1788367551274,85.8271720821579,87.1204625541686,112.275327617336,81.5931473122252,85.5275268384396,86.5473467123051,"2019","03","15"," 10","23","08","S01","X5C8B7F28.WAV"
"X5C8B8180.WAV",86.5400970413654,4.94378119900827,83.5622637131438,85.5061498410794,87.5242587081021,115.332439075779,82.6160669505696,85.9316070057259,87.1485870770049,"2019","03","15"," 10","33","08","S01","X5C8B8180.WAV"
"X5C8B83D8.WAV",86.5118657472427,3.98148481743131,83.639482721268,86.1419384004418,88.0885572907171,112.449421717802,82.5032926934672,86.0218169888262,87.0019145056592,"2019","03","15"," 10","43","08","S01","X5C8B83D8.WAV"
"X5C8B8630.WAV",85.8319079224394,3.74749562894435,83.6574719867591,85.3195518723906,87.1775556841881,109.703958347062,82.1328367122209,85.3706590004052,86.2931568444735,"2019","03","15"," 10","53","08","S01","X5C8B8630.WAV"
"X5C8B8888.WAV",85.6542076227676,3.88167144476494,83.1721449045226,85.2215446313276,87.0204378414733,112.7733008751,81.921701179641,85.1764440849638,86.1319711605713,"2019","03","15"," 11","03","08","S01","X5C8B8888.WAV"
"X5C8B8AE0.WAV",84.9690083616465,3.48753239817119,82.6516474238148,84.5128362887212,86.5112291418832,108.381628157406,81.3130722685349,84.5397562107457,85.3982605125472,"2019","03","15"," 11","13","08","S01","X5C8B8AE0.WAV"
"X5C8B8D38.WAV",89.3316619283049,4.28594917280166,86.3833111292572,88.8456356242958,90.3780796986196,112.890305487473,84.6844680900442,88.8041391153151,89.8591847412948,"2019","03","15"," 11","23","08","S01","X5C8B8D38.WAV"
"X5C8B8F90.WAV",85.1683520231212,3.70291045082942,82.8095452574888,84.6233832145909,86.3515882688388,109.137278128018,81.3698086013137,84.7125907299946,85.6241133162479,"2019","03","15"," 11","33","08","S01","X5C8B8F90.WAV"
"X5C8B91E8.WAV",86.1582084619195,5.12509752420247,83.4123214931561,85.6300084684097,86.7639266666704,117.990584855327,81.3625382027086,85.5274016665493,86.7890152572897,"2019","03","15"," 11","43","08","S01","X5C8B91E8.WAV"
"X5C8B9440.WAV",85.3225699231641,3.86972525458981,83.0004765169916,84.9208599279634,86.4915682536921,112.129953847269,81.6202433459112,84.8462767452717,85.7988631010565,"2019","03","15"," 11","53","08","S01","X5C8B9440.WAV"
"X5C8B9698.WAV",91.9396194634144,4.28381300633262,89.2449649433116,91.0196557572819,92.18447765084,113.674468015612,85.5307739090506,91.412359573875,92.4668793529539,"2019","03","15"," 12","03","08","S01","X5C8B9698.WAV"
"X5C8B98F0.WAV",85.8527998071642,4.54535667160302,83.085704400992,85.0668723923247,87.0046198558331,114.739928652449,81.7076737699334,85.2933486235939,86.4122509907346,"2019","03","15"," 12","13","08","S01","X5C8B98F0.WAV"
"X5C8B9B48.WAV",86.1670345295943,4.86035365989694,83.3540813068576,85.1370383109968,86.9616074731959,112.864710537017,81.7222002829372,85.5688129148666,86.7652561443221,"2019","03","15"," 12","23","08","S01","X5C8B9B48.WAV"
"X5C8B9DA0.WAV",86.1086983858577,4.59666170799883,83.4803462437625,85.4943026218834,86.976010902465,113.058431456721,82.1363967118999,85.5429324803835,86.6744642913318,"2019","03","15"," 12","33","08","S01","X5C8B9DA0.WAV"
"X5C8B9FF8.WAV",88.2793581488503,4.30316125768862,86.115791432993,87.3230382218697,88.0406923224885,113.674973554841,83.7453025449933,87.7497168395669,88.8089994581338,"2019","03","15"," 12","43","08","S01","X5C8B9FF8.WAV"
"X5C8BA250.WAV",85.3526995592411,4.39062707670522,82.7877904785827,84.7343343350844,86.4607246442075,112.95768090709,81.4704339540375,84.8122927898395,85.8931063286426,"2019","03","15"," 12","53","08","S01","X5C8BA250.WAV"
"X5C8BA4A8.WAV",84.9798982727616,4.37091526584345,82.0010926881735,84.5293045457232,86.3937186534551,113.541659892828,81.0607526355537,84.4419176707026,85.5178788748206,"2019","03","15"," 13","03","08","S01","X5C8BA4A8.WAV"
"X5C8BA700.WAV",86.2254468464466,4.08784169435735,83.8531787760066,85.6682012486848,87.281339675753,113.295117680243,82.7429847361289,85.7223074804109,86.7285862124823,"2019","03","15"," 13","13","08","S01","X5C8BA700.WAV"
"X5C8BA958.WAV",86.250772196959,4.23171142328398,83.3668556165712,86.0311789545494,87.572280146692,113.595800784962,81.9276144998915,85.7299250698073,86.7716193241107,"2019","03","15"," 13","23","08","S01","X5C8BA958.WAV"
"X5C8BABB0.WAV",85.3863897985004,3.93068594920032,82.4721125778959,84.988167487928,87.2696938943078,110.099582894718,81.571524012508,84.9025934618428,85.8701861351579,"2019","03","15"," 13","33","08","S01","X5C8BABB0.WAV"
"X5C8BAE08.WAV",85.873766187112,3.89615240357546,83.296584016577,85.5704126489995,87.1077740491212,110.18486410351,82.0166909348629,85.3942203052303,86.3533120689937,"2019","03","15"," 13","43","08","S01","X5C8BAE08.WAV"
"X5C8BB060.WAV",85.5616871131347,4.49305516525247,82.8958889246247,85.156044953548,86.7777163176099,114.794953253337,81.6712549910851,85.0086732988941,86.1147009273753,"2019","03","15"," 13","53","08","S01","X5C8BB060.WAV"
"X5C8BB2B8.WAV",85.8394822958874,4.27639383860678,83.6736745889858,85.547889276624,86.6643437415292,115.335200638712,81.9878956010075,85.3131355716868,86.365829020088,"2019","03","15"," 14","03","08","S01","X5C8BB2B8.WAV"
"X5C8BB510.WAV",86.7342499923856,3.76005369246842,84.3731729064632,86.3014478963021,87.8132386759704,109.734973474935,83.5716979759059,86.2714553998993,87.197044584872,"2019","03","15"," 14","13","08","S01","X5C8BB510.WAV"
"X5C8BB768.WAV",86.1834243360433,3.80994217355527,84.0279580464009,85.7042109100158,87.1385227054429,109.678756229564,83.0444876430861,85.7144893739871,86.6523592980995,"2019","03","15"," 14","23","08","S01","X5C8BB768.WAV"
"X5C8BB9C0.WAV",85.0076054089501,4.9117765492177,82.2816023206621,84.2247736143536,86.0927798619219,116.255763819814,81.1573725158591,84.4030545667554,85.6121562511448,"2019","03","15"," 14","33","08","S01","X5C8BB9C0.WAV"
"X5C8BBC18.WAV",84.8855155556012,4.6788720836009,81.9216859872702,84.2473615303817,86.1096752980969,116.248658283633,81.0903202864826,84.3096310400255,85.4614000711768,"2019","03","15"," 14","43","08","S01","X5C8BBC18.WAV"
"X5C8BBE70.WAV",85.2316962567896,4.5121213898577,82.2870861704721,84.6714821983587,86.4873601260204,113.712244409305,81.2449207539836,84.6763357351963,85.7870567783829,"2019","03","15"," 14","53","08","S01","X5C8BBE70.WAV"
"X5C8BC0C8.WAV",85.7270402981487,4.56997346231686,83.4130964632447,84.7501149184887,86.5814929332935,114.630095273729,81.8527082866627,85.1645592329441,86.2895213633534,"2019","03","15"," 15","03","08","S01","X5C8BC0C8.WAV"
"X5C8BC320.WAV",86.8852315580968,4.19156274576225,84.2956460892111,86.6465967977642,87.6180812813599,113.297730230484,82.8829327405459,86.3693260068831,87.4011371093104,"2019","03","15"," 15","13","08","S01","X5C8BC320.WAV"
