sitio;parcela;basal_mayor_5;basal_menor_5;basal_total;frec_liana_epifita;cobert_densio;abund_ind_5;abund_ind_menor_5;abund_ind_1;prom_vertical;prom_horiz;dap_10;desviacion_dap
QB;QB01;185059.15;264.85;185324.00;0.65;98.96;329.87;1117.01;4398.23;0.13;0.05;53.82;91.54
QB;QB02;55225.04;161.19;55386.23;0.45;98.96;287.98;855.21;3534.29;0.15;0.05;44.07;44.47
QB;QB03;44050.50;62.90;44113.40;0.56;93.76;172.79;645.77;2670.35;0.15;0.05;51.52;44.71
QB;QB04;51076.57;159.88;51236.45;0.50;90.64;198.97;349.07;1492.26;0.13;0.13;47.68;52.05
QB;QB05;64599.02;266.45;64865.47;0.53;92.72;350.81;2234.02;2042.04;0.21;0.06;27.54;52.17
QB;QB06;93056.41;211.08;93267.49;0.65;85.44;214.68;1239.18;1492.26;0.16;0.04;56.48;68.14
QP;QP07;162890.11;271.54;163161.65;0.61;89.60;455.53;698.13;4790.93;0.15;0.11;50.94;74.55
QP;QP08;74947.68;208.48;75156.15;0.26;96.88;434.59;1047.20;2513.27;0.18;0.14;35.87;54.94
QP;QP09;55424.79;294.83;55719.61;0.42;93.76;471.24;1169.37;2277.65;0.21;0.03;34.55;34.86
QP;QP10;47479.17;387.42;47866.59;0.45;97.92;392.70;1867.50;1178.10;0.15;0.09;33.75;45.14
QP;QP11;47123.39;320.80;47444.19;0.48;98.96;356.05;1867.50;1963.50;0.15;0.08;36.57;35.19
QP;QP12;68294.12;465.04;68759.16;0.57;97.92;272.27;1291.54;1099.56;0.23;0.05;45.65;50.17
RF;RF01;64898.28;477.60;65375.88;0.61;100.00;293.22;1082.10;3220.13;0.07;0.05;46.00;35.82
RF;RF02;57529.98;766.58;58296.56;0.77;95.84;198.97;1396.26;4241.15;0.10;0.13;44.94;44.39
RF;RF03;24559.93;429.07;24989.01;0.64;98.96;230.38;1815.14;2513.27;0.10;0.05;27.82;31.90
RF;RF04;27042.85;510.06;27552.91;0.78;91.68;219.91;1832.60;4005.53;0.09;0.05;35.82;30.92
RF;RF05;93109.38;410.44;93519.82;0.83;98.96;193.73;1326.45;3455.75;0.09;0.06;52.91;65.58
RF;RF06;22552.03;333.17;22885.20;0.74;98.96;172.79;1029.74;2199.11;0.09;0.06;33.32;28.96
RF;RF07;42093.50;232.53;42326.03;0.72;98.96;193.73;837.76;2670.35;0.14;0.06;38.47;41.44
RF;RF08;51446.73;176.60;51623.33;0.70;95.84;178.02;767.94;2199.11;0.09;0.06;40.41;47.86
RF;RF09;22685.91;340.86;23026.77;0.68;95.84;230.38;715.58;2827.43;0.10;0.04;32.16;19.99
RF;RF10;28017.57;293.55;28311.11;0.82;96.88;178.02;1274.09;3298.67;0.08;0.05;34.54;35.19
RF;RF11;31800.99;320.37;32121.35;0.92;96.88;193.73;645.77;1884.96;0.11;0.05;40.44;27.60
RF;RF12;23774.93;154.66;23929.59;0.75;96.88;183.26;1047.20;4319.69;0.10;0.05;34.00;35.30
CE;CE01;106271.58;371.56;106643.13;0.33;100.00;628.32;1658.06;6440.26;0.14;0.05;26.13;18.02
CE;CE02;56177.15;314.90;56492.06;0.36;96.88;654.50;1832.60;5026.55;0.09;0.06;27.20;14.06
CE;CE03;57748.75;347.23;58095.97;0.23;98.96;387.46;1623.16;10445.80;0.11;0.06;23.43;16.20
CE;CE04;40980.50;318.38;41298.88;0.32;96.88;486.95;3036.87;9817.48;0.08;0.06;20.02;8.82
CE;CE05;81966.00;222.80;82188.80;0.63;98.96;308.92;2303.83;5105.09;0.09;0.06;31.63;18.84
CE;CE06;58622.44;332.28;58954.73;0.57;97.92;392.70;2565.63;11702.43;0.12;0.07;27.14;28.62
CE;CE07;38823.21;269.37;39092.58;0.59;100.00;350.81;2181.66;3534.29;0.12;0.06;19.96;8.33
CE;CE08;19205.09;212.37;19417.46;0.49;96.88;261.80;1378.81;5890.49;0.13;0.07;16.06;7.74
CE;CE09;107725.13;49.13;107774.27;0.57;89.60;277.51;820.30;1727.88;0.11;0.07;33.78;21.77
CE;CE10;185303.67;246.24;185549.90;0.48;95.84;314.16;1326.45;2748.89;0.07;0.05;33.33;44.19
CE;CE11;49686.62;276.68;49963.30;0.58;93.76;287.98;1605.70;1570.80;0.11;0.06;22.23;16.91
CE;CE12;35871.36;26.92;35898.28;0.62;94.80;157.08;1151.92;1727.88;0.09;0.05;22.03;14.58
